Filename,Period,Date,Speech #,Paragraph #,Speaker,Role,Gender,Party,Interjector Party,Previous Paragraphs,Paragraph,manual_annotation,blind_topic label,Interjection Text,notes,Agenda Item,Context,Supplementary Context,flagged,prediction,prediction_phaseIII,Interjection Label,Topic Label,Interjection,Intervention,Quote,Interjector,Interjector Gender,Verbal interjection,Nonverbal interjection,Interjection type,Directed at (Person),Directed at (Party),Paragraph tokens,Interjection tokens,paragraph_token_count,interjection_token_count,Previous Interjections,partition,entropy,correct,merged_true,merged_pred,merged_correct,Unnamed: 0,prediction_changed,flagged_phaseIII,entropy_phaseIII
20_0088.xml,20,02.03.2023,14,12,Adis Ahmetovic,,männlich,SPD,SPD,"['auch mit Diplomatie und ohne Waffen. Er würde nicht zurückschrecken. Er würde weiter versuchen, die Ukraine gewaltsam auseinanderzupflücken.', 'Es ist immer wichtig, das zu betonen: Friedensverhandlungen? Auf jeden Fall – auf Augenhöhe, jederzeit und lieber gestern als morgen. Aber: Jede russische Waffenpause würde Putin nutzen, um sich vorzubereiten, auszurüsten, aufzurüsten, um gewaltsam zu einem Zeitpunkt X damit weiterzumachen, die Ukraine von der Landkarte zu fegen. Alles andere ist doch Humbug, liebe Linksfraktion. Deshalb müssen wir die Ukraine diplomatisch, finanziell, humanitär, aber auch militärisch unterstützen.']","Zum Schluss. Wenn Sie wirklich glaubwürdig solidarisch an der Seite der Ukraine stehen wollen, wenn Sie einen nachhaltigen, echten Frieden wollen, dann distanzieren Sie sich geschlossen von Sahra Wagenknecht!",False,International,Sehr gut!,,Diplomatie statt Panzer – Für eine Verhandlungsinitiative zur Beendigung des Krieges der Russischen Föderation gegen die Ukraine,"Beratung des Antrags der Abgeordneten Amira Mohamed Ali, Dr. Dietmar Bartsch, Jan Korte, weiterer Abgeordneter und der Fraktion DIE LINKE",,False,International,International,cooperative,International,True,False,False,Joe Weingarten,männlich,True,False,Zuruf,Adis Ahmetovic,SPD,,"['Sehr', 'gut']",0,2,"[('Beifall', 'SPD', None), ('Beifall', 'GRUENE', None), ('Beifall', 'FDP', None)]",unlabeled,0.0897630974650383,0.0,,,,1615.0,False,False,0.055109907
20_0085.xml,20,09.02.2023,9,5,Martin Kröber,,männlich,SPD,SPD,"['Erstens. Mit einem Deutschlandtakt brauchen wir eine gut durchgetaktete Verbindung von der großen Stadt bis ins kleine Dorf. Liebe Kolleginnen und Kollegen, dazu haben wir uns bereits auf den Weg gemacht. Ich denke, wir sind an dieser Stelle auf einem sehr guten Weg.', 'Zweitens. Damit es auch bis ins kleine Dorf klappt, sind wir in Verantwortung, aber auch die Länder. Mit dem Ausbau- und Modernisierungspakt werden wir uns gemeinsam mit den Ländern auf einen besseren und gut ausgebauten öffentlichen Nahverkehr verständigen. Davon bin ich überzeugt.']","Drittens. An der Seite der Länder werden wir mehr Geld für den öffentlichen Nahverkehr zur Verfügung stellen. Liebe Kolleginnen und Kollegen, Sie können das jetzt noch ein paar Mal kritisieren. Ich bin sehr enttäuscht darüber, wie man über 1 Milliarde Euro tatsächlich so abwerten kann.",False,Transportation,Genau!,,,"Erste Beratung des von den Fraktionen SPD, BÜNDNIS 90/DIE GRÜNEN und FDP eingebrachten Entwurfs eines Neunten Gesetzes zur Änderung des Regionalisierungsgesetzes",,False,Transportation,Transportation,cooperative,Transportation,True,False,False,Detlef Müller,männlich,True,False,Zuruf,Martin Kröber,SPD,,['Genau'],0,1,[],unlabeled,0.0983777642250061,0.0,,,,1485.0,False,False,0.10929859
20_0181.xml,20,04.07.2024,7,23,Nadine Heselhaus,,weiblich,SPD,GRUENE,"['Die in Ihrem Antrag geäußerte Generalkritik an der Verbraucherpolitik der Ampel weise ich entschieden zurück. Wir haben Verbraucherinnen und Verbraucher erfolgreich vor den schlimmsten Auswirkungen des russischen Angriffskriegs gegen die Ukraine geschützt, vor ausufernden Energiekosten zum Beispiel. Wir tun mehr als jede andere Bundesregierung gegen Verbraucherüberschuldung. Wir haben eine Bund-Länder-Arbeitsgruppe zur besseren Koordinierung der Verbraucherbildung eingerichtet und eine Finanzbildungsstrategie auf den Weg gebracht. Wir haben die Unabhängige Patientenberatung neu aufgestellt und die Verbraucherforschung gestärkt.', 'Damit Verbraucherinnen und Verbraucher besser zu ihrem Recht kommen, haben wir die Verbandsklage umgesetzt. Sie haben dagegengestimmt.']",Und erst in der letzten Sitzungswoche haben wir das Postgesetz reformiert und dabei der Bundesnetzagentur Möglichkeiten des Durchgreifens bei Mängeln verschafft. Sie haben dagegengestimmt.,False,,Hört! Hört!,,Echten Verbraucherschutz jetzt voranbringen,Beratung des Antrags der Fraktion der CDU/CSU,,True,Domestic,Domestic,"cooperative, confrontational_others_cdu",Domestic,True,False,False,Tabea Rößner,weiblich,True,False,Zuruf,Nadine Heselhaus,SPD,,"['Hört', 'Hört']",0,2,[],unlabeled,0.905125379562378,0.0,,,,4358.0,False,True,1.2053415
20_0193.xml,20,16.10.2024,4,20,Sebastian Schäfer,,männlich,GRUENE,SPD,"['Ich darf abschließend aus der grünen Hauspostille, der Tageszeitung „Die Welt“,', 'Kai Wegner zitieren:']","„Wir müssen verantwortungsvoll mit dem Geld der Steuerzahler umgehen. Das steht außer Frage. Wahr ist aber auch, dass wir seit Jahrzehnten viel zu wenig in unser Land investieren. … Wir müssen diese Zukunftsinvestitionen jetzt tätigen, Je länger wir warten, desto teurer wird es für nachfolgende Generationen.“",False,Macroeconomics,Sehr richtig!,,"Programm für Deutschland – Ein neuer Weg für die Ertragsteuern – Grundlegende Steuerreform zur Entlastung von Familien, Mittelstand und Unternehmen","Beratung des Antrags der Abgeordneten Jörn König, Kay Gottschalk, Klaus Stöber, weiterer Abgeordneter und der Fraktion der AfD",,False,Macroeconomics,Macroeconomics,cooperative,Macroeconomics,True,False,True,Unknown,,True,False,Zuruf,Sebastian Schäfer,GRUENE,,"['Sehr', 'richtig']",0,2,[],unlabeled,0.1069759875535965,0.0,,,,4716.0,False,False,0.12536566
20_0101.xml,20,28.04.2023,7,1,Christoph Schmid,,männlich,SPD,FDP,[],"Sehr geehrter Herr Präsident! Sehr geehrte Wehrbeauftragte Frau Dr. Högl! Liebe Kolleginnen und Kollegen! Frau Dağdelen, vielleicht hätte es geholfen, wenn Sie sich durchgelesen hätten, worüber wir hier heute sprechen.",False,Defense,Oder mitgereist wären!,,Beteiligung bewaffneter deutscher Streitkräfte an der durch die Europäische Union geführten militärischen Partnerschaftsmission zur Unterstützung des Kapazitätsaufbaus der nigrischen Streitkräfte in Niger (EUMPM Niger),– Beratung der Beschlussempfehlung und des Berichts des Auswärtigen Ausschusses (3. Ausschuss) zu dem Antrag der Bundesregierung. – Bericht des Haushaltsausschusses (8. Ausschuss) gemäß § 96 der Geschäftsordnung,,False,Defense,Defense,"cooperative, confrontational_others_linke",Defense,True,False,False,Marie-Agnes Strack-Zimmermann,weiblich,True,False,Zuruf,Christoph Schmid,SPD,,"['Oder', 'mitgereist', 'wären']",0,3,"[('Beifall', 'SPD', None), ('Beifall', 'GRUENE', None), ('Beifall', 'FDP', None), ('Zuruf', 'DIE LINKE', 'Unverschämtheit!')]",unlabeled,0.0651111677289009,0.0,,,,1952.0,False,False,0.02227132
20_0207.xml,20,19.12.2024,9,6,Sascha Müller,,männlich,GRUENE,SPD,"['Dennoch sind wir froh, dass wir heute zumindest diese Änderung im Steuertarif beschließen können. Danach ist beispielsweise der im Einkommensteuertarif integrierte Grundfreibetrag für 2025 um 312 Euro auf nunmehr 12 096 Euro zu erhöhen. Die kalte Progression gleichen wir aus, und das Kindergeld und der Kindersofortzuschlag werden angehoben. Gerade Letzteres ist eine gute Nachricht für die vielen Familien mit nicht so hohen Einkommen, wobei wir uns auch hier mehr gewünscht hätten mit Blick auf das, was wir mal im Koalitionsvertrag vereinbart hatten, eben um die Lücke zwischen der maximalen Ausnutzung des Kinderfreibetrages und dem Kindergeld kleiner zu machen.', 'Was leider auch nicht kommt, sind dringend nötige Neufassungen bei der Gemeinnützigkeit – nicht nur beim E-Sport, sondern auch bezüglich Rechtssicherheit für die gelegentliche politische Betätigung von gemeinnützigen Organisationen.']","Wir bedauern die nicht stattfindende Reform der Lohnsteuerklassen. Fehlanreize bezüglich mehr Erwerbsarbeit, vor allem von Frauen, bleiben so im Steuersystem verankert. Das wollen wir, das sollten wir in der nächsten Legislaturperiode neu gestalten. Wir Grüne haben dafür geeignete Vorschläge gemacht.",False,,Wir auch!,,,,ZP 11 – Zweite und dritte Beratung des von der Bundesregierung eingebrachten Entwurfs eines Gesetzes zur Fortentwicklung des Steuerrechts und zur Anpassung des Einkommensteuertarifs (Steuerfortentwicklungsgesetz – SteFeG). Beschlussempfehlung und Bericht des Finanzausschusses (7. Ausschuss). – Bericht des Haushaltsausschusses (8. Ausschuss) gemäß § 96 der Geschäftsordnung. ZP 12 Erste Beratung des von den Fraktionen SPD und BÜNDNIS 90/DIE GRÜNEN eingebrachten Entwurfs eines Gesetzes für dringliche Änderungen im Finanzmarkt- und Steuerbereich,False,Macroeconomics,Macroeconomics,ambiguous,Macroeconomics,True,False,False,Leni Breymaier,weiblich,True,False,Zuruf,Sascha Müller,GRUENE,,"['Wir', 'auch']",0,2,"[('Beifall', 'GRUENE', None)]",unlabeled,0.263376235961914,0.0,,,,5352.0,False,False,0.23354356
20_0054.xml,20,22.09.2022,3,7,Emilia Fester,,weiblich,GRUENE,FDP,"['Die Schüler/-innen-Bewegung fordert, dass wir unsere Handlungsoptionen nutzen, um diese von Krisen geschüttelte Welt in den Griff zu bekommen. Das tun sie als mündige Bürger/-innen. Das sollten wir ernst nehmen und fördern. Geben wir ihnen neben der lauten Stimme auf der Straße auch eine Stimme an der Wahlurne!', 'Das Europaparlament, unsere Wahlrechtskommission und der Bundesrat empfehlen das, wofür die Ampel seit ihrem Sondierungspapier abgefeiert']","wurde: die Absenkung des Wahlalters auf 16 Jahre beim Bund. Wir beginnen bei den Wahlen zum Europäischen Parlament. Es geht aber um so viel mehr. Das Wahlalter 16 reiht sich ein in eine lange Liste von Vorhaben der Ampel für ein starkes Europa. Wir unterstützen im Koalitionsvertrag etwa ausdrücklich den Vorschlag, transnationale Listen einzuführen.",False,Government?,Sehr richtig!,,,"Erste Beratung des von den Fraktionen SPD, BÜNDNIS 90/DIE GRÜNEN und FDP eingebrachten Entwurfs eines Sechsten Gesetzes zur Änderung des Europawahlgesetzes",,True,Government,Government,cooperative,Government,True,False,False,Konstantin Kuhle,männlich,True,False,Zuruf,Emilia Fester,GRUENE,,"['Sehr', 'richtig']",0,2,[],unlabeled,0.5943042039871216,0.0,,,,750.0,False,True,0.37981567
20_0066.xml,20,10.11.2022,18,3,Katrin Helling-Plahr,,weiblich,FDP,FDP,"['Sehr geehrte Frau Präsidentin! Meine Damen und Herren! Der Zweck heiligt nicht nur nicht die Mittel; mit dem falschen Mittel schadet man einem eigentlich ehrbaren Ziel sogar. Den Beweis dafür hat die „Letzte Generation“ wirklich eindrücklich angetreten. Aber, liebe Kolleginnen und Kollegen von der Union, ich bezweifle sehr, dass Populismus und Symbolpolitik hierauf die richtige Reaktion sind.', 'Wenn es nicht nur um die schnelle Schlagzeile gehen soll, ist manchmal weniger mehr. Denn wir können sehr zuversichtlich sein, dass die Justiz auf das Phänomen Straßenblockade angemessen zu reagieren weiß. Entsprechende Straftaten müssen regelmäßig zur Anklage gebracht und abgeurteilt werden. Bei politisch motivierten Straftätern muss der Rechtsstaat klar und frühzeitig Grenzen aufzeigen. Wer wiederholt andere nötigt, muss mit Freiheitsstrafen rechnen, und zwar auch ohne Bewährung.']","Die Landesjustizminister sollten deshalb klarstellen, dass Strafverfahren im Zusammenhang mit Straßenblockaden nicht wegen Geringfügigkeit oder gegen Auflagen und Weisungen eingestellt,",False,Law,So ist es!,,Straßenblockierer und Museumsrandalierer härter bestrafen – Menschen und Kulturgüter vor radikalem Protest schützen,Beratung des Antrags der Fraktion der CDU/CSU,,False,Law,Law,cooperative,Law,True,False,False,Konstantin Kuhle,männlich,True,False,Zuruf,Katrin Helling-Plahr,FDP,,"['So', 'ist', 'es']",0,3,[],unlabeled,0.1116090416908264,0.0,,,,1008.0,False,False,0.16503966
20_0203.xml,20,05.12.2024,9,13,Carl-Julius Cronenberg,,männlich,FDP,GRUENE,"['Wir wissen doch, dass unsere Unternehmen zusätzliche Absatzmärkte brauchen in Zeiten, in denen Trump die Welt mit neuen Zöllen und mehr Zöllen überziehen will. Wie kann man da auf die Schnapsidee kommen, den Abschluss neuer Freihandelsabkommen durch unilaterale Markteintrittsbarrieren zu erschweren? Mehr und neue Freihandelsabkommen auf Augenhöhe abschließen, das ist der Auftrag.', 'Wir Freien Demokraten lehnen eine Politik ab, die Unternehmen kriminalisiert, die unterstellt, dass Gewinn auf Ausbeutung gründet.']",Das haben Unternehmen nicht verdient.,False,Domestic?,Sie haben das Gesetz nicht verstanden!,,,"a) Erste Beratung des von den Abgeordneten Dr. Lukas Köhler, Renata Alt, Christine Aschenberg-Dugnus, weiteren Abgeordneten und der Fraktion der FDP eingebrachten Entwurfs eines Gesetzes zur Freiheit von Lieferkettenbürokratie und zur Aufhebung des Lieferkettensorgfaltspflichtengesetzes (Lieferkettenbürokratiefreiheitsgesetz – LkBFreiG). b) Erste Beratung des von der Fraktion der CDU/CSU eingebrachten Entwurfs eines Gesetzes zur Aufhebung des Gesetzes über die unternehmerischen Sorgfaltspflichten zur Vermeidung von Menschenrechtsverletzungen in Lieferketten (Lieferkettensorgfaltspflichtenaufhebungsgesetz)",,False,Foreign,Foreign,confrontational,Foreign,True,False,False,Jürgen Kretz,männlich,True,False,Zuruf,Carl-Julius Cronenberg,FDP,,"['Sie', 'haben', 'das', 'Gesetz', 'nicht', 'verstanden']",0,6,[],unlabeled,0.2293382883071899,0.0,,,,5053.0,False,True,1.2247008
20_0193.xml,20,16.10.2024,7,16,Nils Schmid,,männlich,SPD,FDP,"['Selbstverständlich stellt bei jeder Waffenlieferung die Bundesregierung sicher, dass das internationale humanitäre Recht eingehalten wird. Da braucht man gar nicht irgendwelche Unterstellungen hier in den Raum zu stellen; denn das gilt selbstverständlich für alle Waffenlieferungen, die Deutschland insbesondere in Kriegsgebiete tätigt, und damit gilt es selbstverständlich auch für Israel. Und damit ist alles geklärt.', 'Ich will auch mal eines sagen, liebe Kolleginnen und Kollegen: Man muss schon ziemlich blind und taub sein, um nicht zu sehen, dass es massive Zweifel an der Verhältnismäßigkeit des israelischen Vorgehens gibt.']","Deshalb ist es natürlich besonders wichtig, dass sich die Bundesregierung bei solchen Lieferungen intensiv bemüht, rechtssicheren Grund für alle Waffenlieferungen zu haben.",False,Defense,Aber nicht durch schriftliche Erklärungen aus Israel!,,Aktuelle Stunde. Haltung der Bundesregierung zur Unterstützung des Selbstverteidigungsrechts Israels,auf Verlangen der Fraktion der CDU/CSU,,False,Defense,Defense,confrontational,Defense,True,False,False,Wolfgang Kubicki,männlich,True,False,Zuruf,Nils Schmid,SPD,,"['Aber', 'nicht', 'durch', 'schriftliche', 'Erklärungen', 'aus', 'Israel']",0,7,[],unlabeled,0.1740895509719848,0.0,,,,4695.0,False,False,0.102831304
